chromosome	fork_start	fork_end	readID	read_start	read_end	strand	fork_length_bp	EdU_length_bp	BrdU_length_bp	EdU_segment_contamination	EdU_segment_purity	BrdU_segment_contamination	BrdU_segment_purity	stall_score	fork_direction
chr1	11165385	11170470	26fe9c16-a239-4aa1-9f1f-02d117e40ffa	11165379	11174169	fwd	5085	3498	1227	0.027123	0.271226	0.004386	0.850877	-3	left
chr1	27595735	27600661	41a1a5c8-5e54-4227-9fb3-877153678f89	27595090	27613991	rev	4926	1947	1594	0	0.32345	0.01548	0.671827	-3	left
chr1	41293949	41305240	6a960373-8ff8-475c-973b-ccc3f85903ba	41290417	41305247	rev	11291	3704	7302	0.002988	0.534861	0.029775	0.676966	-3	left
chr1	42227118	42232193	c0fed43a-80cf-40bf-956c-33809b18a145	42225857	42239969	rev	5075	1085	1885	0	0.356436	0.007257	0.760522	-3	left
chr1	51986904	51992708	a7f85bbd-b8e8-45d1-ab69-4e4dfa308906	51986899	51992717	rev	5804	2992	2439	0	0.554529	0	0.859649	-3	left
chr1	53258397	53262107	6403bf30-c70b-4d52-a11c-e19805bd1383	53255851	53262509	rev	3710	1740	1554	0	0.350835	0.002825	0.762712	-3	left
chr1	62456595	62467268	398f1635-812f-4c13-8d54-48d68e964fd4	62456590	62467276	rev	10673	3321	6165	0.003996	0.594406	0.011651	0.843465	-3	left
chr1	75628149	75632125	630f3f0b-b144-4fab-afba-6d7c2c85def3	75628145	75635299	fwd	3976	2198	1454	0.006515	0.436482	0.024725	0.576923	-3	left
chr1	76556273	76559034	54b5f1fe-03f8-4b22-97e6-b662eebbedbe	76556268	76570251	rev	2761	1068	1095	0	0.248718	0	0.589147	-3	left
chr1	91793353	91797059	96dd2887-40d4-4d24-adb0-3002b5559146	91793349	91798708	fwd	3706	1603	1831	0	0.473684	0.038023	0.844106	-3	left
chr1	143209322	143217920	193bf75f-0e1c-44c6-8fca-408e237b3036	143200062	143221953	fwd	8598	5169	2199	0.184379	0.358515	0	0.428571	-1	left
chr1	143211372	143223675	b69d0cf5-4f91-40ab-a5d2-2869483b9073	143211365	143223681	rev	12303	1499	10055	0	0.35101	0	0.661028	-3	left
chr1	143213603	143218702	1175b148-7b5f-4b1f-8fbe-6319b8ae4dac	143213022	143233430	fwd	5099	759	4335	0.227273	0.045455	0.042092	0.530612	-3	left
chr1	143223403	143228695	1175b148-7b5f-4b1f-8fbe-6319b8ae4dac	143213022	143233430	fwd	5292	1350	3942	0.094118	0.658824	0.035477	0.685144	-1	left
chr1	145743599	145750530	cf973308-2c2d-44dc-bc7d-d681ecabf82a	145743593	145752250	fwd	6931	4254	2413	0.031079	0.571298	0.041667	0.631667	-3	left
chr1	147386999	147394483	bca52497-8529-407f-b161-d0a25ec4a049	147386995	147394491	fwd	7484	1527	4389	0.002079	0.461538	0.040552	0.85591	-3	left
chr1	151937246	151941644	65f1306d-d29f-4e31-97d5-68e9c00e01e9	151935941	151941650	fwd	4398	2880	1160	0	0.389401	0	0.748428	-3	left
chr1	219737409	219742703	55960c1e-db3a-4335-b9c9-487c6d1df9f7	219737404	219746657	rev	5294	1838	3039	0	0.369888	0.001022	0.776074	-3	left
chr1	226704118	226711277	82438c37-0302-42f4-a03e-c5ddb8d624ff	226700606	226717647	rev	7159	3030	3800	0	0.539765	0.008108	0.858559	-3	left
chr1	241364353	241371298	49ae65d6-3ff0-459a-9151-2f14a9a49ab0	241364345	241374397	fwd	6945	3319	3230	0.020148	0.33298	0.017333	0.84	-3	left
chr14	21108456	21113760	c4596a07-0922-4c53-9193-948d6da5cc55	21108451	21119782	rev	5304	2771	1309	0.003017	0.269985	0.020772	0.596439	-3	left
