chromosome	fork_start	fork_end	readID	read_start	read_end	strand	fork_length_bp	stall_score	fork_direction
chr1	1750428	1760088	876651bd-c207-47cb-8260-2b76365d5a23	1748526	1764431	fwd	9632	-3	left
chr1	3569076	3573859	92448c87-d57c-4ce1-875f-7e391594bb09	3563791	3573865	rev	4746	-3	left
chr1	5364381	5374727	f8283be1-8bd4-4efe-a098-9d72cc2e4e21	5361251	5385372	fwd	10327	-3	left
chr1	5940100	5945481	5b17d4f3-aa8d-41c4-843d-079935997e35	5938607	5946980	rev	5344	-3	left
chr1	7995757	8001224	e02c9e88-0e99-453a-ac11-609d6e527915	7990165	8006595	fwd	5429	-3	left
chr1	9988704	9997716	0cb67200-6435-4400-bfbc-fb24795db75c	9986767	10002885	rev	8983	-3	left
chr1	18986212	18992573	4ca19fae-3214-41de-a306-26a2f9fa464d	18986201	18992587	fwd	6330	-3	left
chr1	20361174	20371883	742aaf2e-1b27-4fb4-9bc1-51b0fd14253d	20361168	20380458	rev	10660	-3	left
chr1	26420072	26432804	0b323efb-ea72-45c6-8dda-cff3e20ed9be	26418410	26433142	fwd	12685	-3	left
chr1	26479491	26485444	5fba7be8-790b-41ef-8173-6294ce174c7b	26477534	26489902	fwd	5950	-3	left
chr1	27232988	27236698	ad694848-2e5b-4cbb-8fe9-ea6f4c7e8abc	27226197	27236703	fwd	3645	-1	left
chr1	28502990	28510351	cbc6c9c3-fafd-40bc-b40c-fdc9df4d1473	28502976	28517428	rev	7415	-3	left
chr1	28996496	29005125	66e4e179-1fbe-4d23-b73e-6fbe0c3c98fa	28996491	29007367	rev	8584	-3	left
chr1	30959864	30965711	cbb41624-af40-412b-8d79-e1207db9a325	30957904	30965718	rev	5771	-3	left
chr1	37423935	37426926	2b715515-7066-4295-b416-ad9d88e92f0b	37423929	37431534	fwd	2987	-3	left
chr1	37690814	37697210	5a251473-3155-4844-a5a3-8608dd8878f7	37690808	37697221	rev	6383	-3	left
chr1	40197377	40204289	f6511379-bf5a-45b3-b891-16e0b7c0f3fc	40197366	40208428	rev	6904	-3	left
chr1	41882757	41889357	df34726b-482c-4982-ac26-1fb847d467a0	41882752	41890595	rev	6561	-3	left
chr1	41976862	41981748	2e2f68bf-de1a-4d35-8380-9d06ea782195	41975305	41990819	rev	4876	-3	left
chr1	42849423	42857889	2984fd42-63c7-435c-b4db-e7e89cff478a	42849418	42857957	rev	8439	-3	left
chr1	43060015	43064885	e2776ac3-7a61-490d-9768-d36d41ca12a8	43055798	43076451	fwd	4847	-3	left
chr1	43546221	43550414	75b51dd4-6fe5-4286-88e6-1920899e4400	43545244	43550734	rev	4190	-3	left
chr1	47313297	47316968	9d3aa54a-4d67-4902-83ab-cec837a61b52	47313289	47320842	fwd	3668	-3	left
chr1	51003235	51011506	6badf0cb-b38c-43a7-977c-9431efb600e2	51001117	51011512	fwd	8265	-3	left
chr1	54605924	54615774	7a9f6764-9f43-4a69-8174-0d43fb85c669	54605920	54615782	fwd	9811	-3	left
chr1	67170573	67177534	580086ee-2485-430f-a211-ad1cc05759d8	67164058	67184713	fwd	6966	-3	left
chr1	69967899	69978010	646b0bb9-6be8-418c-b4ec-10da8d502bbd	69956366	69989233	rev	10131	0.216135	left
chr1	72419249	72427032	3626e5a9-eeb3-4cc8-8f46-12a3ac067115	72416555	72431084	fwd	7754	-3	left
chr1	73939346	73945088	b51008db-9b55-43ac-8052-8e44b6a8841e	73934013	73961474	fwd	5769	-1	left
chr1	82323645	82328309	66a9ab6d-231e-47f6-a2a3-86c7bf5ded19	82323641	82330221	fwd	4838	-3	left
chr1	83715302	83725407	fb03ff8d-7172-4d14-abfc-0a99510492f5	83715291	83725415	rev	10043	-3	left
chr1	85740969	85746450	4cfa0576-0695-406b-8778-c31230eb39d0	85739734	85750966	fwd	5413	-3	left
chr1	87075294	87082154	90644f48-6b07-447c-85b4-b6abc04ecde1	87075285	87085231	fwd	6848	-3	left
